No,Pengguna,Waktu,Ulasan,Label
1338,MD,2021-12-06 11:37:16,Biasa,Positif
1339,S,2021-12-06 11:38:39,"buruk sekali aplikasinya ,selalu crash .padahal sistem android udh android 10",Negatif
1340,HI,2021-12-06 11:38:40,"Terima kasih, aplikasinya sangat mudah diakses dan bermanfaat untuk saya dan keluarga",Positif
1341,DL,2021-12-06 11:39:51,Sangat membantu,Positif
1342,AG,2021-12-06 11:44:52,Top,Positif
1343,AA,2021-12-06 11:46:30,Nikmat,Positif
1344,SK,2021-12-06 11:47:06,Peduli lindungi sangat membantu dalam memvalidasi dokumen utk perjalanan udara,Positif
1345,AP,2021-12-06 11:47:34,Bagus,Positif
1346,MH,2021-12-06 11:48:05,sangat bagus,Positif
1347,ZTUKS,2021-12-06 11:49:18,Aplikasi lemott,Negatif
1348,MN,2021-12-06 11:50:14,Sudah bisa tampil sertifikat vaksinasi setelah memperbarui data diri di chatbot peduli lindungi. Terimakasih,Positif
1349,MRB,2021-12-06 11:50:17,"Aplikasi yang buruk. Rating saya dihapus, saya mengajukan perubahan data no.hp, saat ingin mengklain sertifikat, malah diminta tanggal vaksinnya. Ya udah lupa lah, kayak gini ternyata aplikasi makan uang banyak yang sia sia. Harusnya mau klaim itu tinggal konfirmasi NIK KTP dan No.Hp sudah bisa ini malah dipersulit berbelit belit",Negatif
1350,TH,2021-12-06 11:53:25,Bagus baut sya,Positif
1351,CH,2021-12-06 11:57:11,Setelah diperbarui malah sertifikatnya tidak keluar. Jadi lebih ribet daripada.sebelum update.,Negatif
1352,JU,2021-12-06 11:58:37,Senang,Positif
1353,D,2021-12-06 12:09:42,Terlalu ribet,Negatif
1354,HT,2021-12-06 12:09:48,okelah kalau begitu,Positif
1355,SS,2021-12-06 12:10:24,Mantap,Positif
1356,SH,2021-12-06 12:10:31,Bagus,Positif
1357,FF,2021-12-06 12:11:29,Barcode tdk bisa digunakan. Sy tdk bisa menambahkan/menampilkan sertifikat vaksin. 🙃😩,Negatif
1358,AAH,2021-12-06 12:17:07,"Bintang yg bicara pdhal udah vaksin ke2 kenapa sertifikat vaksin GK muncul"" pdhal isi pormulir nya udah benar. kok sllu bilang data salah input dn isi NIK anda sesuai di KTP emang berpa NIK sih yang saya punya",Negatif
1359,SB,2021-12-06 12:17:24,Sudah lebih dari 2 minggu sertifikat vaksin belum juga dapet. terimakasih,Negatif
1360,PS,2021-12-06 12:17:57,Udah aku kasi bintang lima semoga ber manfaat buat kita semua...,Positif
1361,JU,2021-12-06 12:18:40,Sudah vaksin kedua tapi sertivikat vaksin tdak bisa di tampilkan,Negatif
1362,F,2021-12-06 12:20:53,"aplikasi paling banyak bug, klik sertifikat lngsung force close..parah",Negatif
1363,NM,2021-12-06 12:21:12,Smoga bermanfaat bagi semua,Positif
1364,UP,2021-12-06 12:23:58,maknyus,Positif
1365,FA,2021-12-06 12:28:47,Sangat membantu,Positif
1366,YA,2021-12-06 12:33:25,Bagus sekali,Positif
1367,AH,2021-12-06 12:34:42,Good,Positif
1368,FF,2021-12-06 12:37:14,Ok,Positif
1369,SS,2021-12-06 12:37:43,tak jelas...,Negatif
1370,AAK,2021-12-06 12:40:02,Good app,Positif
1371,TI,2021-12-06 12:44:04,Aplikasi yg sangat membantu kita semua,Positif
1372,NA,2021-12-06 12:45:42,Apk ini bermanfaat,Positif
1373,YS,2021-12-06 12:49:36,"Untuk kolom tanggal lahir terlalu ribet dan menyulitkan harus mundur tiap bulan satu2, buang2 waktu hanya untuk memasukkan tanggal lahir saja. Tolong diperbaiki!",Negatif
1374,MDNE,2021-12-06 12:57:04,Tkan angka lahir saja susah,Negatif
1375,AC,2021-12-06 13:01:59,Apk tidak bisa di gunakan cras terusss ..parahh,Negatif
1376,RL,2021-12-06 13:03:07,Saya udah faksin 2× tpi tidak dapat sms nomer notifikasi jadi sulit untuk masuk,Negatif
1377,SS,2021-12-06 13:09:53,Lemot. PARAH BANGET,Negatif
1378,MB,2021-12-06 13:11:06,Ok,Positif
1379,AM,2021-12-06 13:14:35,Gak bisa d buka,Negatif
1380,DH,2021-12-06 13:18:09,Aplikasi nya sulik sekali Di buka nya,Negatif
1381,BA,2021-12-06 13:19:51,Aplikasi ya bagus,Positif
1382,DP,2021-12-06 13:29:26,👍,Positif
1383,DA,2021-12-06 13:32:33,"Males nulis alasan, takut ditangkap",Negatif
1384,IPH,2021-12-06 13:34:44,Sangat jelek dan tidak puas memakai aplikasi ini ... Perlu di lakukan penyempurnaan lagi pada sistem kinerja nya,Negatif
1385,NO,2021-12-06 13:41:46,Mau cek sertifikat vaksin tidak muncul gambarnya. Putih doang.,Negatif
1386,AR,2021-12-06 13:43:24,"Maaf bintang 2, karena saya cek ber xx, tapi sertifikat vaksin ke 2 saya gak kluar, capek bolak balik puskes nya, padahal dah vaksin 2x",Negatif
1387,YS,2021-12-06 13:47:59,Saya donlot aplkasi peduli lindung sangat sulit,Negatif
1388,MS,2021-12-06 13:50:47,"Parah,habis di update malah ndk bisa d buka.",Negatif
1389,TR,2021-12-06 13:51:26,Jangan takut untuk vaksin,Positif
1390,MD,2021-12-06 13:52:03,Cukup membantu bagi masyarakat indonesia dengan adanya aplikasi pedulilindungi terimah kasih atas kemudahannya untuk kami cari infomarsi dalam hal vaksinisasi,Positif
1391,PR,2021-12-06 13:54:57,Yess langsung terdaftar semua keluarga qu makasih aplikasi pedulilindungi Awalnya ragu lihat coment dibawah tapi coba langsung download pas masuk gampang banget AQ kasih bintang 5 😊,Positif
1392,AA,2021-12-06 13:57:23,Sangat mementingkan bagi kta yg ikut vaksinasi,Positif
1393,TS,2021-12-06 13:59:40,Jos aja,Positif
1394,IA,2021-12-06 14:08:47,Sangat tepat akurat.,Positif
1395,MA,2021-12-06 14:11:30,Bagus,Positif
1396,AT,2021-12-06 14:21:38,Aplikasi yang sangat bagus,Positif
1397,S,2021-12-06 14:25:11,Mengisi tgl lahir tdk praktis. Mau daftar vaksin ke dua tidak bisa lanjutkan.....,Negatif
1398,TM,2021-12-06 14:29:35,Payah,Negatif
1399,DA,2021-12-06 14:36:11,Aplikasi 👎,Negatif
1400,FJTM,2021-12-06 14:39:14,Bantu banget dehh aplikasinya buat bepergian ke mana-mana,Positif
1401,NG,2021-12-06 14:39:44,Anj dah vaksin dua kali gak dapet sertifikat,Negatif
1402,PAG,2021-12-06 14:40:11,Good job,Positif
1403,SL,2021-12-06 14:45:11,"Mempermudah akses belanja di mall dan instansi lain, memperoleh info situasi pandemi yg update",Positif
1404,DC,2021-12-06 14:51:05,Good,Positif
1405,AF,2021-12-06 14:54:00,Ok,Positif
1406,SR,2021-12-06 14:55:41,Very good,Positif
1407,MRP,2021-12-06 14:57:19,Suka sekali,Positif
1408,DY,2021-12-06 14:59:10,Sangat istimewah,Positif
1409,MY,2021-12-06 15:00:36,Saya kasih 2 dulu deh soalnya sertivikat vaksin saya dari vaksin lengkap per 19 agustus sampai sekarang belum keluar. Setiap kasih masuk NIK dan Nama sesuai KTP malah diarahkan untuk mecari tempat vaksin pertama. Sudah email juga pihak pedulilindungi sama juga tidak ada tanggapan.,Negatif
1410,B,2021-12-06 15:01:13,Aplikasi ini Sebenarnya Sangat Bagus Berguna Sangat Bermanfaat bagi Masyarakat di daerah Indonesia.,Positif
1411,SR,2021-12-06 15:02:04,"Aplikasi tidak bisa di buka keterangan aplikasi peduli lindungi sudah berhenti, padahal sdh berkali kali unistal dan download mohon solusinya.",Negatif
1412,H,2021-12-06 15:05:59,Ok,Positif
1413,SMC,2021-12-06 15:06:51,Mantap,Positif
1414,TE,2021-12-06 15:11:21,Pemberian informasi yang sangat membantu,Positif
1415,CS,2021-12-06 15:13:09,"Saya beri bintang 5 karena sertifikat saya sudah masuk, dan status vaksinasi sudah berubah. Komplain saya ditanggapi dengan baik. Terima kasih.",Positif
1416,JS,2021-12-06 15:13:27,sangat membantu,Positif
1417,ES,2021-12-06 15:13:35,Baik,Positif
1418,SA,2021-12-06 15:17:50,Terimakasih,Positif
1419,WA,2021-12-06 15:25:20,Aplikasi terpaksa di download,Negatif
1420,NR,2021-12-06 15:26:10,GABISA CEK SERTIFIKAT VAKSIN!,Negatif
1421,GA,2021-12-06 15:30:05,Sangat membantu,Positif
1422,RI,2021-12-06 15:36:47,"Tampilan antarmuka nya bagusan yang dulu, yang temanya biru semua :)",Negatif
1423,LSTS,2021-12-06 15:44:05,"PeduliLindungi - Bagus Banget Aplikasi ini pada saat screen code atau apa gitu.. berpergian Ke mana mana tidak bingung sama sekali, aplikasi Peduli Lindungi Nomor 1 Di Negera Tercinta Indonesia ini..terus menerus di permudah dan Juga Menstabilkan Bateri Handphone kita..",Positif
1424,EP,2021-12-06 16:02:21,Mantap..,Positif
1425,YP,2021-12-06 16:10:19,Seru,Positif
1426,DK,2021-12-06 16:20:26,Sangat membatu 🙏,Positif
1427,RA,2021-12-06 16:40:14,"Beginilah aplikasi milik pemerintah, nyedot anggarannya yg pinter",Negatif
1428,MG,2021-12-06 16:44:31,Good,Positif
1429,RH,2021-12-06 16:47:11,Bagus,Positif
1430,JJ,2021-12-06 16:48:07,bagus dan tdk ada gejala apa2,Positif
1431,HPATDH,2021-12-06 16:58:53,"Saya mau beri penjelasan bahwa aplikasi ini bagus banget, untuk vaksinasi.👍👍👍",Positif
1432,PB,2021-12-06 17:02:31,okelah,Positif
1433,ER,2021-12-06 17:03:11,Semoga lancar jaya,Positif
1434,EE,2021-12-06 17:11:59,Mantap,Positif
1435,SB,2021-12-06 17:18:07,Ok,Positif
1436,RR,2021-12-06 17:19:54,Terimakasih karena sudah mengeluarkan sertifikat vaksin saya tpi saya menunggu selama dua bulan,Positif
1437,TH,2021-12-06 17:31:30,Bagus bangat,Positif
1438,KM,2021-12-06 17:43:09,S angatttttttttttttttttt Sangatttttttttttttt Bagus,Positif
1439,HD,2021-12-06 17:43:59,Tidak bisa terbuka menu sertifikat vaksin menjengkelkan,Negatif
1440,H,2021-12-06 17:44:59,"saat saya mau cek sertifikat vaksin,tapi tiba-tiba keluar aplikasi",Negatif
1441,AAG,2021-12-06 17:47:27,Wajib,Positif
1442,ETQ,2021-12-06 17:54:54,Ok,Positif
1443,AF,2021-12-06 18:06:53,Saya bri rnting 5 mga aja bs d prmdh untuk biar brmnfaat bwt qt smua,Positif
1444,KP,2021-12-06 18:23:57,Memuaskan,Positif
1445,SH,2021-12-06 18:27:08,Semoga covid di Indonesia 100% terselesaikan dan semua aktifitas 100% kembali normal,Positif
1446,JB,2021-12-06 18:28:24,Mantap,Positif
1447,DB,2021-12-06 18:54:55,Lumayan,Positif
1448,AA,2021-12-06 18:57:30,Udh lumayan bagus,Positif
1449,AM,2021-12-06 19:29:11,Bagus,Positif
1450,FTS,2021-12-06 19:43:33,ok,Positif
1451,RR,2021-12-06 19:43:42,Susah buka hasil test pcr nya,Negatif
1452,HH,2021-12-06 20:40:07,"Smpi saat nh sy blm dpt sertifikat vaksin satu dan dua ,, trus gmn sy mau brpgian klu blm pnya sertifikat , jgn bikin rakyat kcil mndrita cm krna sertifikat",Negatif
1453,MR,2021-12-06 20:52:09,Bapuk.. Udah vaksin tp sertifikat nya gak keluar gambarnya.,Negatif
1454,EN,2021-12-06 21:16:50,Sangat ingin mempelajari,Positif
1455,YH,2021-12-06 21:19:12,Rungkat.. Aplikasi tdk berguna. Tdk dapat masuk. 🤦,Negatif
1456,AM,2021-12-06 21:36:06,Sangat membantu,Positif
1457,JS,2021-12-06 21:45:59,Sangat baik,Positif
1458,GB,2021-12-06 21:50:38,Ini apk udah kaya DPR nyusahin padalah udah validasi tapi tetap aja sertifikat vaksin ngga keluar,Negatif
1459,RGS,2021-12-06 22:15:24,Perasaaan kok susah banget kalo waktu login gak bisa sat set,Negatif
1460,KH,2021-12-06 22:25:28,Tidak bisa memperbaiki data yg salah di awal,Negatif
1461,EYB,2021-12-06 22:34:31,"Tolong diberikan update perbaikan untuk android versi 5, karena tidak bisa login sama sekali setelah update ke versi terbaru ini",Negatif
1462,TM,2021-12-06 22:58:55,Diklat lkppm,Positif
1463,AR,2021-12-06 23:05:14,"Ini klo bisa di kasih minus bintang tak kasih ini, mau ngasih bintang 1 aja sayang nanget buat aplikasi kayak gini, aplikasi ini gak guna, mau scan qr aja gak bisa, selalu muncul ""sesi anda telah habis, harap login ulang"" itu terus gak guna sama sekali, buat develofer nya yg bener sedikit bikin aplikasi, klo gak bisa bikin mending gak usah bikin lah",Negatif
1464,NB,2021-12-06 23:18:51,Setelah diupgrade kenapa bahasanya berubah?,Negatif
1465,EJJ,2021-12-06 23:21:51,Aplikasi gak jelas gak bisA keluar hasil sertifikat vaksin nya,Negatif
1466,TS,2021-12-06 23:28:11,Informatif,Positif
1467,IL,2021-12-06 23:42:33,Tidak informatif aplikasinya,Negatif
1468,MRIG,2021-12-06 23:47:00,"Bagus ,sangat membantu",Positif
1469,RS,2021-12-06 23:47:49,sudah saya kasih bintng 3,Positif
1470,MC,2021-12-06 23:49:49,"Sangat membantu,,,👍👍",Positif
1471,RB,2021-12-06 23:52:55,Sangat membantu,Positif
1472,FF,2021-12-06 23:56:42,"Berulang kali di suruh login terus, terakhir malah gk bisa katanya no sudah terdaftar, sertifikat vaksin tidak ada,susah sekali aplikasi ini",Negatif
1473,AM,2021-12-07 0:05:03,"Maaf,saya kasih bintang 2 tapi,ko aplikasinya tidak bisa di buka di hp saya",Negatif
1474,PW,2021-12-07 0:11:40,Sangat membantu kita semua agar aman dalam bersosialisasi di keramaian,Positif
1475,EK,2021-12-07 0:16:19,Bagus,Positif
1476,DS,2021-12-07 0:17:19,Puas,Positif
1477,WW,2021-12-07 0:20:46,Sering eror,Negatif
1478,NA,2021-12-07 0:22:31,Project,Positif
1479,FA,2021-12-07 0:30:20,Terimakasih ini sangat membantu,Positif
1480,NK,2021-12-07 0:30:26,Aplikasi nya tidak memudahkan pengguna pada saat pengisian tanggal lahir karena harus manual pencairian tanggal dan tahun!,Negatif
1481,AML,2021-12-07 0:31:52,Terima kasih atas kepedulian Anda semoga aplikasi ini makin baik lagi kedapatan nya,Positif
1482,S,2021-12-07 0:32:54,mencoba dulu klw bisa di tambah bintang pul,Positif
1483,DNAA,2021-12-07 0:36:14,"Aplikasinya bagus banget, dapat banyak informasi dan dapat berfungsi dengan baik",Positif
1484,NI,2021-12-07 0:37:01,Punya ku gak bisa,Negatif
1485,CP,2021-12-07 0:46:51,Baik,Positif
1486,YE,2021-12-07 0:47:08,Susah di download,Negatif
1487,NT,2021-12-07 0:49:32,Sangat membantu sekali,Positif
1488,AG,2021-12-07 0:57:07,Trima kasih apk nya..... Moga bermanfaat bagi yg mau,Positif
1489,HT,2021-12-07 1:00:39,Gak bisa login,Negatif
1490,WSF,2021-12-07 1:02:03,Setiap login gagal padahal syarat dan ketentuan sudah saya penuhi... paket data aktif.. setiap login gagal...,Negatif
1491,BAN,2021-12-07 1:04:29,Buang2 amggaran,Negatif
1492,RS,2021-12-07 1:11:22,Bagus,Positif
1493,BP,2021-12-07 1:17:30,sangat luar biasa...super mantap,Positif
1494,N,2021-12-07 1:18:47,Apk ga guna !!!!!!!! Tapi boong yahahah hayuk!!?!!?!? Yahahahah hengkel ayong,Negatif
1495,N,2021-12-07 1:18:52,Apk kok burik anying,Negatif
1496,DRC,2021-12-07 1:19:08,Semoga aplikasi ini selalu update bila diperlukan agar saya dan teman teman bisa menggunakan aplikasi ini untuk screening atau sekedar cek status COVID-19 di daerah tempat saya dan teman teman tinggal.,Positif
1497,EP,2021-12-07 1:22:07,Bagus,Positif
1498,RM,2021-12-07 1:26:54,Sangat bermanfaat,Positif
1499,PH,2021-12-07 1:30:27,Good,Positif
1500,NB,2021-12-07 1:31:35,Mantap,Positif
1501,SDKS,2021-12-07 1:33:23,Sangat membantu,Positif
1502,SW,2021-12-07 1:34:50,"Sudah Vaksi kedua, serifikat vaksinnya gk keluar.. sudah sebulan lebih.. Sudah minta klaim lewat sini gagal, Mau berapa kali lgi dilakuin gagal mulu..",Negatif
1503,YS,2021-12-07 1:38:27,"ga bisa di buka,tolong di perbaiki",Negatif
1504,NA,2021-12-07 1:44:16,"Dengan vaksin kita lebih tenang dan tidak terlalu was""",Positif
1505,BHF,2021-12-07 1:49:19,Mau smart bagaimana apk untuk nasional saja kayak gini susahnya . Mikir mikir,Negatif
1506,AA,2021-12-07 1:54:34,Bagus,Positif
1507,BT,2021-12-07 1:55:36,Tolong dong perbaiki untuk ketik tanggal lahir ter lalu ribet kurang simpel perbaiki dong kalau ketik tgl simpel kan lebi cepat mudah ini harus nurunin tahun dulu terlalu lm,Negatif
1508,AS,2021-12-07 1:58:54,Sngat bagus,Positif
1509,MK,2021-12-07 2:00:58,Semoga dpt lbih membantu,Positif
1510,AK,2021-12-07 2:15:12,Ok,Positif
1511,APPSXK,2021-12-07 2:20:26,Terimakasih,Positif
1512,MIG,2021-12-07 2:33:33,"Aplikasi ngak berguna, mau liat sertifikat keluar mulu dari aplikasi, mau daftar dosis kedua tombol lanjut ngak aktif. Aplikasi mirip tugas mahasiswa yg baru belajar.",Negatif
1513,RK,2021-12-07 2:41:05,Infonya memuaskan,Positif
1514,DAG,2021-12-07 2:49:05,Nggx jelas kurang episien,Negatif
1515,SM,2021-12-07 2:54:44,kenapa wajib isi tanggal vaksin untuk mencetak sertifikat? siapa yang memikirkan untuk mengingat tanggal vaksinnya saat melakukan vaksinasi? haruskah dipersulit begini?,Negatif
1516,TF,2021-12-07 2:56:04,"Sangat Jelek, scroll bulan lahir manual, verivikasi bukan robot eror2",Negatif
1517,HI,2021-12-07 3:00:29,Sangat bermanfaat 👍,Positif
1518,BU,2021-12-07 3:01:28,"Ganti tuh cara buat masukin tanggal,, Ngeselin",Negatif
1519,YP,2021-12-07 3:03:20,"Sangat membantu tuk informasi nya,tks",Positif
1520,YF,2021-12-07 3:08:17,Bagus,Positif
1521,N,2021-12-07 3:09:02,Sumpah yaa lemot banget. Saya gak bisa buka sertifikat vaksin nih padahal butuh banget buat lomba. Tolong dong diperiksa lagi apk nyaaa,Negatif
1522,MM,2021-12-07 3:12:32,Gk jelaa,Negatif
1523,ANA,2021-12-07 3:16:19,Gak kenak download,Negatif
1524,HS,2021-12-07 3:16:58,Sangat membantu,Positif
1525,LB,2021-12-07 3:19:38,"Dengan adanya vaksinasi ,corna virus 19 mulai menurun tetimah kasih vaksinasi 👍👍👍",Positif
1526,NH,2021-12-07 3:24:15,pepek,Negatif
1527,MS,2021-12-07 3:26:25,Good,Positif
1528,BS,2021-12-07 3:27:42,Pretttt...aplikasi bangke,Negatif
1529,WW,2021-12-07 3:28:02,Dengan ikut Vaksin saya lebih menambah Imun dan kekebalan tubuh dlm diri terimakasih.,Positif
1530,AN,2021-12-07 3:30:17,sangat bermanfaat & membantu dalam penanganan dan informasi c19,Positif
1531,JW,2021-12-07 3:34:10,Aplikasi opo iki. Kesusu kerjo. Cek in kok sesi habis terus.,Negatif
1532,JD,2021-12-07 3:37:47,Mari dukung program pemerintah ..sgra vaksin bagi yg blm vaksin..jgn lupa tetap gunakan masker..,Positif
1533,MT,2021-12-07 3:38:43,Bisa buat sedikit kartu vaksin,Positif
1534,BF,2021-12-07 3:38:48,Mantab,Positif
1535,NN,2021-12-07 3:39:03,Mau klaim kartu vaksin susahnya ... Dipersulit vaksin udah 2 kali sertifikasi belum ada maunya apa x ni apk captra sampe berulang2,Negatif
1536,GU,2021-12-07 3:39:13,Isi tgl lahir tidak bisa,Negatif
1537,AF,2021-12-07 3:40:07,Good,Positif
1538,YMC,2021-12-07 3:41:12,Semoga manfaat untuk umat,Positif
1539,J,2021-12-07 3:43:58,Sehat selalu indonesia ku..💪,Positif
1540,SA,2021-12-07 3:45:52,Bagus,Positif
1541,TTB,2021-12-07 3:46:58,"Di desa saya sedang diadakan vaksin masal tp tidak ada pemberitahuan apapun dari aplikasi ini, ku cek pelayanan kesehatan pun tidak ada, apk macam apa ini?",Negatif
1542,UAA,2021-12-07 3:48:57,Saya PCR sekeluarga dengan satu nomer telpon. Gimana caranya ya untuk menampilkan hasil pcr yg lain. Krn di pedulilindungi cuman muncul hasil pcr saya saja.,Positif
1543,AA,2021-12-07 3:50:13,rusakk,Negatif
1544,RG,2021-12-07 3:53:02,Bgus,Positif
1545,SNH,2021-12-07 3:56:23,Ko pas udh slesai di unduh malah g ad aplikasiny dan aplikasiny g bsa ke dowload?,Negatif
1546,E,2021-12-07 3:59:58,Cukuk bagus,Positif
1547,DD,2021-12-07 4:08:35,Semoga bermanfaat bagi semua.aamiin.,Positif
1548,FM,2021-12-07 4:09:29,Ga bisa download,Negatif
1549,SK,2021-12-07 4:10:56,"Terima kasih peduli lindungi,kami sangat terbantu dengan aplikasi ini,dengan mudah untuk melihat sertifikat vaksin",Positif
1550,AD,2021-12-07 4:12:49,Apk nya lelet amat... pas mengisi biodata nya pada tgl lhir ja lelet... kelamaan an mengisi biodta jdi nya... tlg di perbaiki apk ni...,Negatif
1551,IR,2021-12-07 4:14:55,oke,Positif
1552,NC,2021-12-07 4:15:02,Mau download sertifikat kenapa ada robot nya buat lama n gak bisa klaim sertifikat,Negatif
1553,TT,2021-12-07 4:15:29,"Mantap,bisa membantu masyarakat sekitar tempat tinggal juga 🙏🙏🙏🙏",Positif
1554,SJ,2021-12-07 4:20:35,Buka Aplikasi ini Bagaimana....?????,Positif
1555,RR,2021-12-07 4:23:00,Kenapa harus di cari dulu tanggal lahirnya? Kenapa tidak di ketik saja supaya lebih mudah? Lalu kenapa harus ada pertanyaan SAYA BUKAN ROBOT??,Negatif
1556,DA,2021-12-07 4:24:55,Bgus,Positif
1557,SS,2021-12-07 4:32:22,Good,Positif
1558,FR,2021-12-07 4:36:24,Muantap polll,Positif
1559,DH,2021-12-07 4:39:41,Terimakasih sangat membantu..,Positif
1560,RM,2021-12-07 4:42:02,Mantap,Positif
1561,DS,2021-12-07 4:42:32,Cepat dan bagus,Positif
1562,SP,2021-12-07 4:42:46,Ok aja dah,Positif
1563,MW,2021-12-07 4:47:32,ribet,Negatif
1564,TG,2021-12-07 4:49:27,"Markicob, kalo bener yes tak tambah bintang nya",Positif
1565,USS,2021-12-07 5:00:03,Saya kasih bintang 2 dulu karna saya belom percaya sekali sama aplikasi ini apa bisa di pertanggung jawabkan.makasih,Negatif
1566,RA,2021-12-07 5:01:01,"Akun saya di retas, sudah ganti nomor telephone.",Negatif
1567,SS,2021-12-07 5:01:54,"Udah susah di bikin susah pula,percuma udah vaksin ke 2 sertifikat g bisa tampil",Negatif
1568,RF,2021-12-07 5:04:05,Aplikasi terhenti setiap membuka sertifikat vaksin,Negatif
1569,BR,2021-12-07 5:05:38,"Terimakasih sebesar-besarnya untuk pihak aplikasi pedulilindungi karena aplikasi ini sangat membantu untuk masyarakat Indonesia, dan untuk masyarakat Indonesia lewat ulasan ini saya mengajak seluruh masyarakat Indonesia untuk melakukan vaksinasi karena vaksin itu aman. Cintai keluarga dan saudara anda dengan melakukan vaksinasi di tempat tempat yang sudah di tentukan di daerah anda. Vaksin sehat, Vaksin aman. Ayo vaksinasi",Positif
1570,TT,2021-12-07 5:07:21,Informasi kesehatan yang bagus,Positif
1571,KK,2021-12-07 5:08:37,Baguss,Positif
1572,WS,2021-12-07 5:09:08,Oke oke sj,Positif
1573,IAMN,2021-12-07 5:09:32,"Kebanyakan login setiap kali mau buka aplikasinya. Padahal sudah login dan masuk ke aplikasinya, giliran mau scan kode QR malah disuruh login lagi. Kalau bisa login nya cukup sekali aja pas mau buka aplikasinya.",Negatif
1574,HW,2021-12-07 5:10:51,"Aplikasi g berguna Apanya yg terbaru,cerita aja bukti g ada",Negatif
1575,BB,2021-12-07 5:12:50,Siep,Positif
1576,MF,2021-12-07 5:12:53,Mantap,Positif
1577,BB,2021-12-07 5:24:08,Udah vaksin malah gak muncul sertifikat nya,Negatif
1578,EK,2021-12-07 5:32:12,Bagus saja,Positif
1579,DH,2021-12-07 5:36:04,Gk jelas apk nya,Negatif
1580,DA,2021-12-07 5:36:26,Ok,Positif
1581,WZ,2021-12-07 5:36:45,Mudah dan sangat bermanfaat,Positif
1582,WP,2021-12-07 5:38:35,Good Job,Positif
1583,SA,2021-12-07 5:45:36,Sudah pernah ngunduh aplikasi tapi tidak bisa di buka ini dicoba buat unduh ulang tapi hanya muter muter aja.,Negatif
1584,COO,2021-12-07 5:56:24,Sulit di download,Negatif
1585,HA,2021-12-07 5:58:27,Bagus,Positif
1586,MT,2021-12-07 6:05:08,Aplikasi ini sudah kasi bintang lima semoga bermempaat semua orang.,Positif
1587,RIS,2021-12-07 6:08:05,"Saran nih buat kalian yg ga bisa login lagi ke apk gara2 nomor lama nya tidak aktif.mending kalian masuk saja ke google di website peduliLindungi. disitu ada panduan cek sertifikat dengan memasukan nik kalian, ikuti saja panduan nya pasti nanti kalian bisa cek kembali sertifikat nya. Memang apk ini masih sangat bobrok semoga kedepannya lebih baik lagi",Negatif
1588,AC,2021-12-07 6:09:10,Maturnuwun luur ngge,Positif
1589,GL,2021-12-07 6:10:16,"Sangat bagus ,tapi EHAC masih pake bahasa Inggris",Positif
1590,EI,2021-12-07 6:12:56,Memantapkan untuk perjalanan,Positif
1591,NI,2021-12-07 6:13:51,Sangat membantu,Positif
1592,RA,2021-12-07 6:20:46,"Muter """,Negatif
1593,SM,2021-12-07 6:32:29,Sangat baik,Positif
1594,AR,2021-12-07 6:32:49,Kenapa app ini tidak berfungsi ... Muter muter gak bisa di instal Bolak balik rupa nya app ini butuh perbaikanv,Negatif
1595,IS,2021-12-07 6:33:43,Bagus,Positif
1596,AM,2021-12-07 6:37:24,"Atur tanggal lahir kenapa begitu, amatir amat",Negatif
1597,ODL,2021-12-07 6:39:25,Saya sangat menyukai Aplikasihnya sangat bagus untuk membantu masyarakat.,Positif
1598,MM,2021-12-07 6:42:42,Sangat bagusss,Positif
1599,RF,2021-12-07 6:45:05,Bagus,Positif
1600,BKL,2021-12-07 6:49:25,Bagus sekali,Positif
1601,HS,2021-12-07 6:49:25,menggunakan pedulilindugi semua sangat mudah,Positif
1602,WP,2021-12-07 7:07:24,Kek tai,Negatif
1603,DR,2021-12-07 7:13:27,Proses cepat. Bagus 🙏,Positif
1604,MT,2021-12-07 7:18:08,Sangat baguuusss,Positif
1605,RH,2021-12-07 7:33:41,Bagus.,Positif
1606,IY,2021-12-07 7:33:52,"Coba login dengan no lain bisa, kenapa sertifikat tidak keluar, harusnya kaluk NIK sudah masuk sertifikat bisa di unduh. Jangan no telpon buat patokan. Menu bantuan WA tidak membantu sama sekali padahal data sudah benar kenapa masih disalahkan.",Negatif
1607,SR,2021-12-07 7:37:06,"Baru Mencoba Aplikasi ini, Saya Kasih 5'Bintang Langsung,, Semoga bisa Menbantu dan Baguss",Positif
1608,WP,2021-12-07 7:38:41,Aplikasi yg sangat membantu,Positif
1609,AR,2021-12-07 7:40:04,Sangat membantu,Positif
1610,JJ,2021-12-07 7:44:17,"Saya download ko gak bisa bisa ,",Negatif
1611,RS,2021-12-07 7:45:43,SANGAT MEMBANTU 👍🏿☺️,Positif
1612,SU,2021-12-07 7:52:38,Keren,Positif
1613,AS,2021-12-07 7:57:57,Semoga bermanfaat,Positif
1614,DH,2021-12-07 8:02:14,Berguna banget,Positif
1615,GK,2021-12-07 8:05:38,Lebih praktis juga bermanfaat.,Positif
1616,CC,2021-12-07 8:05:59,Ok bs digunakan. Ok lngsng bintang 5,Positif
1617,MK,2021-12-07 8:10:00,Ok,Positif
1618,ROG,2021-12-07 8:11:56,Tidak bisa login.,Negatif
1619,NA,2021-12-07 8:13:48,Aplikasi taek,Negatif
1620,DT,2021-12-07 8:15:41,mantep,Positif
